date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2005-12,118,,,,,,,,,,,,,,,,,,
2006-01,44,2.353191489361702,75.54990925589837,21.282608695652176,0,1,2,4,6,70,73,75,78,81,16,18,21,24,27
2006-02,74,,,,,,,,,,,,,,,,,,
2006-03,72,,,,,,,,,,,,,,,,,,
2006-04,104,2.3873517786561265,81.08187772925764,16.1171875,0,1,2,4,6,60,75,83,88,92,5,9,15,22,35
2006-05,3,,,,,,,,,,,,,,,,,,
2006-06,58,,,,,,,,,,,,,,,,,,
2006-07,82,3.753623188405797,75.60542540073983,20.03575832305795,0,1,2,6,15,65,70,75,82,88,7,16,21,25,28
2006-08,126,,,,,,,,,,,,,,,,,,
2006-09,29,,,,,,,,,,,,,,,,,,
2006-10,110,2.655,71.47431693989071,24.93209200438116,0,1,2,4,7,66,69,72,74,76,20,23,25,27,30
2006-11,51,,,,,,,,,,,,,,,,,,
2006-12,44,,,,,,,,,,,,,,,,,,
2007-01,12,3.7136563876651985,76.7527352297593,18.303825136612023,0,2,4,5,7,73,75,77,79,81,13,16,18,20,23
2007-02,42,,,,,,,,,,,,,,,,,,
2007-03,182,,,,,,,,,,,,,,,,,,
2007-04,148,2.8774193548387097,80.2292576419214,16.112814895947427,0,1,2,5,7,75,77,80,83,86,10,13,16,19,21
2007-05,65,,,,,,,,,,,,,,,,,,
2007-06,160,,,,,,,,,,,,,,,,,,
2007-07,16,1.3290676416819014,83.7527950310559,15.323056300268096,0,0,1,2,4,73,76,83,91,99,1,9,16,22,26
2007-08,37,,,,,,,,,,,,,,,,,,
2007-09,74,,,,,,,,,,,,,,,,,,
2007-10,59,2.4367088607594938,71.44808743169399,25.155021834061134,0,1,2,4,6,67,69,71,74,76,20,22,25,28,30
2007-11,165,,,,,,,,,,,,,,,,,,
2007-12,78,,,,,,,,,,,,,,,,,,
2008-01,182,,,,,,,,,,,,,,,,,,
2008-02,21,,,,,,,,,,,,,,,,,,
2008-03,339,,,,,,,,,,,,,,,,,,
2008-04,50,1.4425981873111782,80.87746170678336,17.02747252747253,0,0,1,2,3,74,77,81,85,89,9,14,17,21,24
2008-05,85,,,,,,,,,,,,,,,,,,
2008-06,58,,,,,,,,,,,,,,,,,,
2008-07,28,3.905325443786982,71.93396226415095,24.023529411764706,0,1,3,7,10,63,68,73,76,78,16,21,24,27,32
2008-08,131,,,,,,,,,,,,,,,,,,
2008-09,97,,,,,,,,,,,,,,,,,,
2008-10,87,3.8820224719101124,69.18102508178843,25.595837897042717,0,2,4,6,8,59,64,70,74,76,18,21,25,30,34
2008-11,357,,,,,,,,,,,,,,,,,,
2008-12,76,,,,,,,,,,,,,,,,,,
2009-01,138,3.67843631778058,72.96923076923076,22.266509433962263,0,1,3,5,11,64,70,74,76,78,18,20,22,24,27
2009-02,14,,,,,,,,,,,,,,,,,,
2009-03,139,,,,,,,,,,,,,,,,,,
2009-04,82,2.3106918238993712,81.27899343544858,15.585980284775465,0,1,2,4,5,70,77,81,86,91,4,11,16,20,27
2009-05,48,,,,,,,,,,,,,,,,,,
2009-06,76,,,,,,,,,,,,,,,,,,
2009-07,75,1.6998444790046656,78.97410604192355,18.718362282878413,0,0,2,3,4,69,72,78,86,93,4,12,20,26,29
2009-08,64,,,,,,,,,,,,,,,,,,
2009-09,87,,,,,,,,,,,,,,,,,,
2009-10,28,3.348173515981735,68.51750547045953,27.00545851528384,0,1,3,5,7,58,65,69,73,75,22,24,26,29,38
2009-11,152,,,,,,,,,,,,,,,,,,
2009-12,60,,,,,,,,,,,,,,,,,,
2010-01,186,3.810112359550562,74.32824427480917,20.49618320610687,0,2,4,6,8,69,71,74,77,81,14,18,21,23,26
2010-02,163,,,,,,,,,,,,,,,,,,
2010-03,103,,,,,,,,,,,,,,,,,,
2010-04,53,3.1447212336892054,81.40371991247265,14.223194748358862,0,1,3,5,8,73,77,82,85,89,7,9,14,19,22
2010-05,6,,,,,,,,,,,,,,,,,,
2010-06,20,,,,,,,,,,,,,,,,,,
2010-07,136,4.059471365638767,78.33269961977186,16.988614800759013,0,1,3,7,11,69,74,78,83,88,9,11,17,21,26
2010-08,38,,,,,,,,,,,,,,,,,,
2010-09,57,,,,,,,,,,,,,,,,,,
2010-10,48,2.693820224719101,74.69325153374233,21.679754601226993,0,1,2,4,8,66,70,75,79,81,15,19,21,25,29
2010-11,182,,,,,,,,,,,,,,,,,,
2010-12,103,,,,,,,,,,,,,,,,,,
2011-01,33,2.235294117647059,80.33681462140993,16.333766233766234,0,1,2,4,5,72,77,81,84,87,10,13,16,19,24
2011-02,197,,,,,,,,,,,,,,,,,,
2011-03,126,,,,,,,,,,,,,,,,,,
2011-04,92,1.774330042313117,81.79605263157895,15.864332603938731,0,0,2,3,4,74,78,82,86,89,8,12,16,20,22
2011-05,34,,,,,,,,,,,,,,,,,,
2011-06,60,,,,,,,,,,,,,,,,,,
