date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2010-01,186,5.267245537867824,69.91022222222222,23.931049822064058,0,2,4,8,13,56,63,70,77,83,14,19,25,29,32
2010-02,163,,,,,,,,,,,,,,,,,,
2010-03,103,,,,,,,,,,,,,,,,,,
2010-04,53,2.5527511357900052,77.9007662835249,19.29344073647871,0,1,2,4,8,62,71,80,84,89,9,14,19,25,31
2010-05,6,,,,,,,,,,,,,,,,,,
2010-06,20,,,,,,,,,,,,,,,,,,
2010-07,136,2.0083333333333333,78.28495575221238,19.450887573964497,0,0,2,3,6,66,72,78,84,91,7,13,20,25,31
2010-08,38,,,,,,,,,,,,,,,,,,
2010-09,57,,,,,,,,,,,,,,,,,,
2010-10,48,3.5260796410544026,72.99013621418506,22.969910672308416,0,1,3,6,10,60,67,74,79,84,14,18,23,27,32
2010-11,182,,,,,,,,,,,,,,,,,,
2010-12,103,,,,,,,,,,,,,,,,,,
2011-01,33,2.793737574552684,76.68279143536876,20.030543435144782,0,1,2,5,8,62,70,78,83,88,10,15,20,25,30
2011-02,197,,,,,,,,,,,,,,,,,,
2011-03,126,,,,,,,,,,,,,,,,,,
2011-04,92,2.0673329826407154,80.5416187188339,17.121782558586247,0,0,2,3,6,67,75,81,86,92,7,12,17,22,28
2011-05,34,,,,,,,,,,,,,,,,,,
2011-06,60,,,,,,,,,,,,,,,,,,
2011-07,97,1.529593094944513,79.54523127302497,18.6873459326212,0,0,1,2,4,67,73,79,86,93,6,13,19,25,30
2011-08,169,,,,,,,,,,,,,,,,,,
2011-09,111,,,,,,,,,,,,,,,,,,
2011-10,54,3.5631383472609097,72.48372271160476,23.425833652740515,0,1,2,6,10,60,66,73,79,84,14,19,24,28,32
2011-11,29,,,,,,,,,,,,,,,,,,
2011-12,227,,,,,,,,,,,,,,,,,,
2012-01,178,2.880047505938242,76.29349736379613,20.75701754385965,0,0,2,5,10,62,71,77,82,88,10,16,21,26,30
2012-02,113,,,,,,,,,,,,,,,,,,
2012-03,86,,,,,,,,,,,,,,,,,,
2012-04,225,1.8128430296377607,80.57455113192817,17.315707011359184,0,0,1,3,5,67,75,81,87,92,6,12,17,23,28
2012-05,57,,,,,,,,,,,,,,,,,,
2012-06,63,,,,,,,,,,,,,,,,,,
2012-07,65,1.9863813229571985,73.08725761772853,24.762169680111267,0,0,2,3,6,64,68,73,78,84,14,20,25,30,34
2012-08,153,,,,,,,,,,,,,,,,,,
2012-09,85,,,,,,,,,,,,,,,,,,
2012-10,121,2.4646660212971927,67.68836869056328,29.435036496350364,0,1,2,4,7,56,62,68,73,78,21,25,30,34,37
2012-11,224,,,,,,,,,,,,,,,,,,
2012-12,277,,,,,,,,,,,,,,,,,,
2013-01,138,,,,,,,,,,,,,,,,,,
2013-02,26,,,,,,,,,,,,,,,,,,
2013-03,195,,,,,,,,,,,,,,,,,,
2013-04,59,1.8491570541259983,78.83395989974937,19.07769423558897,0,0,1,3,6,64,73,79,86,92,7,13,19,25,32
2013-05,12,,,,,,,,,,,,,,,,,,
2013-06,23,,,,,,,,,,,,,,,,,,
2013-07,44,1.6696781479390175,78.0570652173913,19.974698326196965,0,0,1,2,5,65,72,79,84,90,9,14,20,25,31
2013-08,47,,,,,,,,,,,,,,,,,,
2013-09,36,,,,,,,,,,,,,,,,,,
2013-10,194,3.055582642613359,67.8537989255564,28.73591414334994,0,1,2,5,9,55,62,69,74,79,19,25,29,33,37
2013-11,182,,,,,,,,,,,,,,,,,,
2013-12,79,,,,,,,,,,,,,,,,,,
2014-01,158,4.581325301204819,72.385,22.8525,0,1,4,8,11,57,67,73,78,86,12,18,23,28,33
2014-02,95,,,,,,,,,,,,,,,,,,
2014-03,295,,,,,,,,,,,,,,,,,,
2014-04,46,2.3493292053663573,78.72211575316213,18.561443932411674,0,0,2,4,7,61,70,80,87,93,6,12,18,26,32
2014-05,11,,,,,,,,,,,,,,,,,,
2014-06,73,,,,,,,,,,,,,,,,,,
2014-07,15,1.7948008849557522,77.1064491064491,20.780725712056185,0,0,1,3,5,62,70,78,84,91,7,15,21,27,33
2014-08,189,,,,,,,,,,,,,,,,,,
2014-09,43,,,,,,,,,,,,,,,,,,
2014-10,24,3.7027540360873696,67.76772709850518,28.15464313123561,0,1,3,6,10,54,61,69,74,79,19,24,28,32,36
2014-11,70,,,,,,,,,,,,,,,,,,
2014-12,227,,,,,,,,,,,,,,,,,,
2015-01,79,1.967741935483871,77.73170731707317,20.045454545454547,0,0,2,3,6,72,75,77,81,84,14,17,20,23,25
2015-02,22,,,,,,,,,,,,,,,,,,
2015-03,79,,,,,,,,,,,,,,,,,,
